date,zcta,deathrate
9/2020,10456,NA
9/2020,10457,0
9/2020,10458,NA
9/2020,10459,NA
9/2020,10460,NA
9/2020,10461,NA
9/2020,10462,NA
9/2020,10463,NA
9/2020,10464,NA
9/2020,10465,NA
9/2020,10466,NA
9/2020,10467,NA
9/2020,10468,NA
9/2020,10469,NA
9/2020,10470,0
9/2020,10471,NA
9/2020,10472,NA
9/2020,10473,NA
9/2020,10474,NA
9/2020,10475,NA
9/2020,11004,NA
9/2020,11101,0
9/2020,11102,0
9/2020,11103,NA
9/2020,11104,0
9/2020,11105,NA
9/2020,11106,0
9/2020,11109,NA
9/2020,11201,0
9/2020,11203,0
9/2020,11204,0
9/2020,11205,0
9/2020,11206,NA
9/2020,11207,NA
9/2020,11208,NA
9/2020,11209,0
9/2020,11210,0
9/2020,11211,NA
9/2020,11212,0
9/2020,11213,NA
9/2020,11214,NA
9/2020,11215,NA
9/2020,11216,0
9/2020,11217,NA
9/2020,11218,NA
9/2020,11219,5.6
9/2020,11220,NA
9/2020,11221,0
9/2020,11222,0
9/2020,11223,0
9/2020,11224,NA
9/2020,11225,NA
9/2020,11226,NA
9/2020,11228,NA
9/2020,11229,NA
9/2020,11230,NA
9/2020,11231,0
9/2020,11232,0
9/2020,11233,NA
9/2020,11234,NA
9/2020,11235,NA
9/2020,11236,NA
9/2020,11237,0
9/2020,11238,0
9/2020,11239,0
9/2020,11354,NA
9/2020,11355,NA
9/2020,11356,0
9/2020,11357,0
9/2020,11358,0
9/2020,11360,0
9/2020,11361,NA
9/2020,11362,0
9/2020,11363,NA
9/2020,11364,0
9/2020,11365,0
9/2020,11366,NA
9/2020,11367,0
9/2020,11368,NA
9/2020,11369,0
9/2020,11370,0
9/2020,11372,NA
9/2020,11373,0
9/2020,11374,NA
9/2020,11375,NA
9/2020,11377,NA
9/2020,11378,0
9/2020,11379,NA
9/2020,11385,0
9/2020,11411,NA
9/2020,11412,0
9/2020,11413,0
9/2020,11414,0
9/2020,11415,0
9/2020,11416,NA
9/2020,11417,0
9/2020,11418,0
9/2020,11419,NA
9/2020,11420,0
9/2020,11421,NA
9/2020,11422,0
9/2020,11423,NA
9/2020,11426,0
9/2020,11427,0
9/2020,11428,0
9/2020,11429,0
9/2020,11432,NA
9/2020,11433,NA
9/2020,11434,0
9/2020,11435,0
9/2020,11436,0
9/2020,11691,NA
9/2020,11692,NA
9/2020,11693,0
9/2020,11694,NA
9/2020,11697,NA
10/2020,10001,0
10/2020,10002,0
10/2020,10003,0
10/2020,10004,NA
10/2020,10005,0
